date,adjClose,close,divCash,splitFactor
2022-11-29,376.1352260187,395.23,0.0,1.0
2022-11-30,387.9837283185,407.68,0.0,1.0
2022-12-01,387.698222239,407.38,0.0,1.0
2022-12-02,387.2509293811,406.91,0.0,1.0
2022-12-05,380.284581041,399.59,0.0,1.0
2022-12-06,374.8028643143,393.83,0.0,1.0
2022-12-07,374.1652340701,393.16,0.0,1.0
2022-12-08,377.0964298198,396.24,0.0,1.0
2022-12-09,374.2794365019,393.28,0.0,1.0
2022-12-12,379.6755014047,398.95,0.0,1.0
2022-12-13,382.5495959384,401.97,0.0,1.0
2022-12-14,380.1037605239,399.4,0.0,1.0
2022-12-15,370.8057792012,389.63,0.0,1.0
2022-12-16,366.4483854157,383.27,1.7814,1.0
2022-12-19,363.3410270192,380.02,0.0,1.0
2022-12-20,363.8382043626,380.54,0.0,1.0
2022-12-21,369.2784718321,386.23,0.0,1.0
2022-12-22,364.0103042123,380.72,0.0,1.0
2022-12-23,366.1041857164,382.91,0.0,1.0
2022-12-27,364.6604591999,381.4,0.0,1.0
2022-12-28,360.1284964924,376.66,0.0,1.0
2022-12-29,366.6109241625,383.44,0.0,1.0
2022-12-30,365.645252784,382.43,0.0,1.0
2023-01-03,364.1059152399,380.82,0.0,1.0
2023-01-04,366.9168794508,383.76,0.0,1.0
2023-01-05,362.7291164427,379.38,0.0,1.0
2023-01-06,371.0472758424,388.08,0.0,1.0
2023-01-09,370.8369315817,387.86,0.0,1.0
2023-01-10,373.4375515319,390.58,0.0,1.0
2023-01-11,378.1607362945,395.52,0.0,1.0
2023-01-12,379.5375350917,396.96,0.0,1.0
2023-01-13,381.0099449165,398.5,0.0,1.0
2023-01-17,380.3119844151,397.77,0.0,1.0
2023-01-18,374.3076118829,391.49,0.0,1.0
2023-01-19,371.5826975968,388.64,0.0,1.0
2023-01-20,378.5049359938,395.88,0.0,1.0
2023-01-23,383.046459804,400.63,0.0,1.0
2023-01-24,382.6353323854,400.2,0.0,1.0
2023-01-25,382.7787489268,400.35,0.0,1.0
2023-01-26,386.9856341404,404.75,0.0,1.0
2023-01-27,387.8748166969,405.68,0.0,1.0
2023-01-30,383.008215393,400.59,0.0,1.0
2023-01-31,388.6397049176,406.48,0.0,1.0
2023-02-01,392.7701013091,410.8,0.0,1.0
2023-02-02,398.4876407586,416.78,0.0,1.0
2023-02-03,394.2520722367,412.35,0.0,1.0
2023-02-06,391.8426743416,409.83,0.0,1.0
2023-02-07,396.96742542,415.19,0.0,1.0
2023-02-08,392.6266847678,410.65,0.0,1.0
2023-02-09,389.2229321858,407.09,0.0,1.0
2023-02-10,390.1312369479,408.04,0.0,1.0
2023-02-13,394.7110051691,412.83,0.0,1.0
2023-02-14,394.5293442166,412.64,0.0,1.0
2023-02-15,395.8105319863,413.98,0.0,1.0
2023-02-16,390.360703414,408.28,0.0,1.0
2023-02-17,389.3854709327,407.26,0.0,1.0
2023-02-21,381.5740499792,399.09,0.0,1.0
2023-02-22,381.0481893275,398.54,0.0,1.0
2023-02-23,383.0751431123,400.66,0.0,1.0
2023-02-24,378.9829911317,396.38,0.0,1.0
2023-02-27,380.2737400041,397.73,0.0,1.0
2023-02-28,378.8682578986,396.26,0.0,1.0
2023-03-01,377.4149702794,394.74,0.0,1.0
2023-03-02,380.3502288262,397.81,0.0,1.0
2023-03-03,386.4502123859,404.19,0.0,1.0
2023-03-06,386.7179232632,404.47,0.0,1.0
2023-03-07,380.790039553,398.27,0.0,1.0
2023-03-08,381.4115112323,398.92,0.0,1.0
2023-03-09,374.3745396022,391.56,0.0,1.0
2023-03-10,368.9725165438,385.91,0.0,1.0
2023-03-13,368.4466558921,385.36,0.0,1.0
2023-03-14,374.5370783491,391.73,0.0,1.0
2023-03-15,372.1946081734,389.28,0.0,1.0
2023-03-16,378.7248413573,396.11,0.0,1.0
2023-03-17,374.3135435911,389.99,1.506204,1.0
2023-03-20,377.9128045682,393.74,0.0,1.0
2023-03-21,382.874985702,398.91,0.0,1.0
2023-03-22,376.3483257968,392.11,0.0,1.0
2023-03-23,377.3657168997,393.17,0.0,1.0
2023-03-24,379.8420084519,395.75,0.0,1.0
2023-03-27,380.5522626181,396.49,0.0,1.0
2023-03-28,379.6980380129,395.6,0.0,1.0
2023-03-29,385.2169048444,401.35,0.0,1.0
2023-03-30,387.4724417234,403.7,0.0,1.0
2023-03-31,392.9337203794,409.39,0.0,1.0
2023-04-03,394.4310129459,410.95,0.0,1.0
2023-04-04,392.2426622718,408.67,0.0,1.0
2023-04-05,391.2156731396,407.6,0.0,1.0
2023-04-06,392.7417597939,409.19,0.0,1.0
2023-04-10,393.1448770234,409.61,0.0,1.0
2023-04-11,393.2504553454,409.72,0.0,1.0
2023-04-12,391.6475844569,408.05,0.0,1.0
2023-04-13,396.8497163225,413.47,0.0,1.0
2023-04-14,395.880315366,412.46,0.0,1.0
2023-04-17,397.3008236983,413.94,0.0,1.0
2023-04-18,397.5599704886,414.21,0.0,1.0
2023-04-19,397.4927842837,414.14,0.0,1.0
2023-04-20,395.3236296682,411.88,0.0,1.0
2023-04-21,395.6307666049,412.2,0.0,1.0
2023-04-24,396.0434818636,412.63,0.0,1.0
2023-04-25,389.7567726902,406.08,0.0,1.0
2023-04-26,388.1059116554,404.36,0.0,1.0
2023-04-27,395.8323252196,412.41,0.0,1.0
2023-04-28,399.2108315235,415.93,0.0,1.0
2023-05-01,398.807714294,415.51,0.0,1.0
2023-05-02,394.3254346239,410.84,0.0,1.0
2023-05-03,391.6187903691,408.02,0.0,1.0
2023-05-04,388.8449599094,405.13,0.0,1.0
2023-05-05,396.0434818636,412.63,0.0,1.0
2023-05-08,396.1490601856,412.74,0.0,1.0
2023-05-09,394.4118168873,410.93,0.0,1.0
2023-05-10,396.2546385076,412.85,0.0,1.0
2023-05-11,395.5635804,412.13,0.0,1.0
2023-05-12,395.0452868193,411.59,0.0,1.0
2023-05-15,396.408206976,413.01,0.0,1.0
2023-05-16,393.7591508968,410.25,0.0,1.0
2023-05-17,398.5389694744,415.23,0.0,1.0
2023-05-18,402.3781811833,419.23,0.0,1.0
2023-05-19,401.7927013977,418.62,0.0,1.0
2023-05-22,401.9558678954,418.79,0.0,1.0
2023-05-23,397.4447941374,414.09,0.0,1.0
2023-05-24,394.5653853557,411.09,0.0,1.0
2023-05-25,397.9822837766,414.65,0.0,1.0
2023-05-26,403.1364254959,420.02,0.0,1.0
2023-05-30,403.2899939642,420.18,0.0,1.0
2023-05-31,401.0536531438,417.85,0.0,1.0
2023-06-01,404.8640707649,421.82,0.0,1.0
2023-06-02,410.718868621,427.92,0.0,1.0
2023-06-05,409.9318302207,427.1,0.0,1.0
2023-06-06,410.824446943,428.03,0.0,1.0
2023-06-07,409.4039386107,426.55,0.0,1.0
2023-06-08,411.8802301629,429.13,0.0,1.0
2023-06-09,412.6192784169,429.9,0.0,1.0
2023-06-12,416.3625098331,433.8,0.0,1.0
2023-06-13,419.107546205,436.66,0.0,1.0
2023-06-14,419.6066437272,437.18,0.0,1.0
2023-06-15,424.8087755927,442.6,0.0,1.0
2023-06-16,423.3675038437,439.46,1.638367,1.0
2023-06-20,421.1709946989,437.18,0.0,1.0
2023-06-21,419.0130208023,434.94,0.0,1.0
2023-06-22,420.5255292924,436.51,0.0,1.0
2023-06-23,417.3463713197,433.21,0.0,1.0
2023-06-26,415.6411865888,431.44,0.0,1.0
2023-06-27,420.1979796831,436.17,0.0,1.0
2023-06-28,420.4099235479,436.39,0.0,1.0
2023-06-29,422.0669392185,438.11,0.0,1.0
2023-06-30,427.0476200424,443.28,0.0,1.0
2023-07-03,427.5389444564,443.79,0.0,1.0
2023-07-05,426.9031128618,443.13,0.0,1.0
2023-07-06,423.5601800845,439.66,0.0,1.0
2023-07-07,422.4908269482,438.55,0.0,1.0
2023-07-10,423.5601800845,439.66,0.0,1.0
2023-07-11,426.2576474553,442.46,0.0,1.0
2023-07-12,429.687284541,446.02,0.0,1.0
2023-07-13,433.0976540026,449.56,0.0,1.0
2023-07-14,432.8279072655,449.28,0.0,1.0
2023-07-17,434.3307819435,450.84,0.0,1.0
2023-07-18,437.5581089764,454.19,0.0,1.0
2023-07-19,438.5311239923,455.2,0.0,1.0
2023-07-20,435.6217127567,452.18,0.0,1.0
2023-07-21,435.6217127567,452.18,0.0,1.0
2023-07-24,437.5677427885,454.2,0.0,1.0
2023-07-25,438.7623354812,455.44,0.0,1.0
2023-07-26,438.8297721655,455.51,0.0,1.0
2023-07-27,435.9203609299,452.49,0.0,1.0
2023-07-28,440.1881396629,456.92,0.0,1.0
2023-07-31,441.0262813103,457.79,0.0,1.0
2023-08-01,439.7642519332,456.48,0.0,1.0
2023-08-02,433.6467812888,450.13,0.0,1.0
2023-08-03,432.4040195358,448.84,0.0,1.0
2023-08-04,430.448355692,446.81,0.0,1.0
2023-08-07,434.205542387,450.71,0.0,1.0
2023-08-08,432.3173152275,448.75,0.0,1.0
2023-08-09,429.4271716159,445.75,0.0,1.0
2023-08-10,429.5813126086,445.91,0.0,1.0
2023-08-11,429.3308334956,445.65,0.0,1.0
2023-08-14,431.700751257,448.11,0.0,1.0
2023-08-15,426.6719013729,442.89,0.0,1.0
2023-08-16,423.5409124604,439.64,0.0,1.0
2023-08-17,420.3135854275,436.29,0.0,1.0
2023-08-18,420.5158954803,436.5,0.0,1.0
2023-08-21,423.2518980993,439.34,0.0,1.0
2023-08-22,422.1054744667,438.15,0.0,1.0
2023-08-23,426.8067747415,443.03,0.0,1.0
2023-08-24,420.8916141498,436.89,0.0,1.0
2023-08-25,423.8588282577,439.97,0.0,1.0
2023-08-28,426.5466618164,442.76,0.0,1.0
2023-08-29,432.7123015211,449.16,0.0,1.0
2023-08-30,434.4945567482,451.01,0.0,1.0
2023-08-31,433.8587251536,450.35,0.0,1.0
2023-09-01,434.6679653649,451.19,0.0,1.0
2023-09-05,432.7893720174,449.24,0.0,1.0
2023-09-06,429.8799607817,446.22,0.0,1.0
2023-09-07,428.5601285325,444.85,0.0,1.0
2023-09-08,429.205593939,445.52,0.0,1.0
2023-09-11,432.0283008663,448.45,0.0,1.0
2023-09-12,429.6583831049,445.99,0.0,1.0
2023-09-13,430.1593413309,446.51,0.0,1.0
2023-09-14,433.8683589657,450.36,0.0,1.0
2023-09-15,428.6595196079,443.37,1.583169,1.0
2023-09-18,428.9108931223,443.63,0.0,1.0
2023-09-19,428.0214176097,442.71,0.0,1.0
2023-09-20,424.0864552875,438.64,0.0,1.0
2023-09-21,417.0770015194,431.39,0.0,1.0
2023-09-22,416.1391849463,430.42,0.0,1.0
2023-09-25,417.8891313353,432.23,0.0,1.0
2023-09-26,411.7498166556,425.88,0.0,1.0
2023-09-27,411.9141762612,426.05,0.0,1.0
2023-09-28,414.3022246484,428.52,0.0,1.0
2023-09-29,413.2967305907,427.48,0.0,1.0
2023-10-02,413.1323709851,427.31,0.0,1.0
2023-10-03,407.6021536673,421.59,0.0,1.0
2023-10-04,410.5702947802,424.66,0.0,1.0
2023-10-05,410.4156033867,424.5,0.0,1.0
2023-10-06,415.288382282,429.54,0.0,1.0
2023-10-09,417.9471406078,432.29,0.0,1.0
2023-10-10,420.122488329,434.54,0.0,1.0
2023-10-11,421.8434300817,436.32,0.0,1.0
2023-10-12,419.2716856647,433.66,0.0,1.0
2023-10-13,417.1833518524,431.5,0.0,1.0
2023-10-16,421.5727201431,436.04,0.0,1.0
2023-10-17,421.5533837189,436.02,0.0,1.0
2023-10-18,415.9361524923,430.21,0.0,1.0
2023-10-19,412.2815683208,426.43,0.0,1.0
2023-10-20,407.2154251836,421.19,0.0,1.0
2023-10-23,406.5096457007,420.46,0.0,1.0
2023-10-24,409.5744689345,423.63,0.0,1.0
2023-10-25,403.6961959814,417.55,0.0,1.0
2023-10-26,398.8620899344,412.55,0.0,1.0
2023-10-27,397.0541342729,410.68,0.0,1.0
2023-10-30,401.801226411,415.59,0.0,1.0
2023-10-31,404.3246297675,418.2,0.0,1.0
2023-11-01,408.6366523614,422.66,0.0,1.0
2023-11-02,416.4679041575,430.76,0.0,1.0
2023-11-03,420.2675115104,434.69,0.0,1.0
2023-11-06,421.2343327198,435.69,0.0,1.0
2023-11-07,422.4331910194,436.93,0.0,1.0
2023-11-08,422.7425738064,437.25,0.0,1.0
2023-11-09,419.4457134824,433.84,0.0,1.0
2023-11-10,425.99109307,440.61,0.0,1.0
2023-11-13,425.585028162,440.19,0.0,1.0
2023-11-14,433.8416812902,448.73,0.0,1.0
2023-11-15,434.7601614392,449.68,0.0,1.0
2023-11-16,435.2919131043,450.23,0.0,1.0
2023-11-17,435.8333329816,450.79,0.0,1.0
2023-11-20,439.1882025782,454.26,0.0,1.0
2023-11-21,438.2310495809,453.27,0.0,1.0
2023-11-22,439.9229866973,455.02,0.0,1.0
2023-11-24,440.1936966359,455.3,0.0,1.0
2023-11-27,439.4009032442,454.48,0.0,1.0
2023-11-28,439.8359727885,454.93,0.0,1.0
2023-11-29,439.5265900015,454.61,0.0,1.0
2023-11-30,441.2571999663,456.4,0.0,1.0
2023-12-01,443.8676172316,459.1,0.0,1.0
2023-12-04,441.537578117,456.69,0.0,1.0
2023-12-05,441.4505642081,456.6,0.0,1.0
2023-12-06,439.6716131829,454.76,0.0,1.0
2023-12-07,443.0264827794,458.23,0.0,1.0
2023-12-08,444.9311205619,460.2,0.0,1.0
2023-12-11,446.6617305268,461.99,0.0,1.0
2023-12-12,448.7017232786,464.1,0.0,1.0
2023-12-13,454.8893790187,470.5,0.0,1.0
2023-12-14,456.3492790449,472.01,0.0,1.0
2023-12-15,455.6010300067,469.33,1.906073,1.0
2023-12-18,458.163804002,471.97,0.0,1.0
2023-12-19,460.9498499742,474.84,0.0,1.0
2023-12-20,454.5623299405,468.26,0.0,1.0
2023-12-21,458.8724498417,472.7,0.0,1.0
2023-12-22,459.7946601809,473.65,0.0,1.0
2023-12-26,461.7361556319,475.65,0.0,1.0
2023-12-27,462.5709986758,476.51,0.0,1.0
2023-12-28,462.7457332664,476.69,0.0,1.0
2023-12-29,461.4061014052,475.31,0.0,1.0
2024-01-02,458.8239124554,472.65,0.0,1.0
2024-01-03,455.076826235,468.79,0.0,1.0
2024-01-04,453.6109971695,467.28,0.0,1.0
2024-01-05,454.2322757138,467.92,0.0,1.0
2024-01-08,460.7168705201,474.6,0.0,1.0
2024-01-09,460.0179321577,473.88,0.0,1.0
2024-01-10,462.6195360621,476.56,0.0,1.0
2024-01-11,462.4156790397,476.35,0.0,1.0
2024-01-12,462.7360257891,476.68,0.0,1.0
2024-01-16,461.0372172695,474.93,0.0,1.0
2024-01-17,458.4744432742,472.29,0.0,1.0
2024-01-18,462.5515837213,476.49,0.0,1.0
2024-01-19,468.3178252107,482.43,0.0,1.0
2024-01-22,469.3079878907,483.45,0.0,1.0
2024-01-23,470.6767421837,484.86,0.0,1.0
2024-01-24,471.1912384782,485.39,0.0,1.0
2024-01-25,473.7540124735,488.03,0.0,1.0
2024-01-26,473.1521488837,487.41,0.0,1.0
2024-01-29,476.8992351041,491.27,0.0,1.0
2024-01-30,476.5303509684,490.89,0.0,1.0
2024-01-31,468.7546616872,482.88,0.0,1.0
2024-02-01,474.8897873123,489.2,0.0,1.0
2024-02-02,479.8891380986,494.35,0.0,1.0
2024-02-05,478.1417921927,492.55,0.0,1.0
2024-02-06,479.5299614402,493.98,0.0,1.0
2024-02-07,483.5294420692,498.1,0.0,1.0
2024-02-08,483.7430065689,498.32,0.0,1.0
2024-02-09,486.5387600183,501.2,0.0,1.0
2024-02-12,486.3251955187,500.98,0.0,1.0
2024-02-13,479.6270362128,494.08,0.0,1.0
2024-02-14,483.9856935002,498.57,0.0,1.0
2024-02-15,487.3250656759,502.01,0.0,1.0
2024-02-16,484.8981963622,499.51,0.0,1.0
2024-02-20,482.2286401171,496.76,0.0,1.0
2024-02-21,482.6654765936,497.21,0.0,1.0
2024-02-22,492.6544706889,507.5,0.0,1.0
2024-02-23,492.9942323928,507.85,0.0,1.0
2024-02-26,491.1886416234,505.99,0.0,1.0
2024-02-27,492.1011444854,506.93,0.0,1.0
2024-02-28,491.4507435093,506.26,0.0,1.0
2024-02-29,493.2175043697,508.08,0.0,1.0
2024-03-01,497.8479710203,512.85,0.0,1.0
2024-03-04,497.3140597713,512.3,0.0,1.0
2024-03-05,492.3438314167,507.18,0.0,1.0
2024-03-06,494.8386530713,509.75,0.0,1.0
2024-03-07,499.7506365623,514.81,0.0,1.0
2024-03-08,496.7510260905,511.72,0.0,1.0
2024-03-11,496.3238970913,511.28,0.0,1.0
2024-03-12,501.6630095815,516.78,0.0,1.0
2024-03-13,500.8767039238,515.97,0.0,1.0
2024-03-14,499.8865412438,514.95,0.0,1.0
2024-03-15,496.4645943544,509.83,1.594937,1.0
2024-03-18,499.4151616432,512.86,0.0,1.0
2024-03-19,502.1904477071,515.71,0.0,1.0
2024-03-20,506.8354001717,520.48,0.0,1.0
2024-03-21,508.5103096559,522.2,0.0,1.0
2024-03-22,507.5462629179,521.21,0.0,1.0
2024-03-25,506.1440131172,519.77,0.0,1.0
2024-03-26,505.2091799168,518.81,0.0,1.0
2024-03-27,509.4548807021,523.17,0.0,1.0
2024-03-28,509.3575022438,523.07,0.0,1.0
2024-04-01,508.4713582725,522.16,0.0,1.0
2024-04-02,505.2383934543,518.84,0.0,1.0
2024-04-03,505.7934506671,519.41,0.0,1.0
2024-04-04,499.6196564058,513.07,0.0,1.0
2024-04-05,504.839141775,518.43,0.0,1.0
2024-04-08,505.1215393043,518.72,0.0,1.0
2024-04-09,505.7058100545,519.32,0.0,1.0
2024-04-10,500.6421302188,514.12,0.0,1.0
2024-04-11,504.4204144039,518.0,0.0,1.0
2024-04-12,497.4578546298,510.85,0.0,1.0
2024-04-15,491.2256332936,504.45,0.0,1.0
